"phage"	"cov_category"
"209"	"1.008.O."	"even_coverage"
"210"	"1.011.O."	"even_coverage"
"211"	"1.036.O."	"even_coverage"
"212"	"1.043.O."	"even_coverage"
"213"	"1.044.O."	"even_coverage"
"214"	"1.048.O."	"even_coverage"
"215"	"1.054.O."	"even_coverage"
"216"	"1.057.O."	"even_coverage"
"217"	"1.062.O."	"even_coverage"
"218"	"1.080.O."	"even_coverage"
"219"	"1.085.O."	"even_coverage"
"220"	"1.095.O."	"even_coverage"
"221"	"1.102.O."	"even_coverage"
"222"	"1.107.A."	"even_coverage"
"223"	"1.107.B."	"even_coverage"
"224"	"1.107.C."	"even_coverage"
"225"	"1.116.O."	"even_coverage"
"226"	"1.125.O."	"even_coverage"
"227"	"1.132.O."	"even_coverage"
"228"	"1.141.A."	"even_coverage"
"229"	"1.166.O."	"even_coverage"
"230"	"1.189.B."	"even_coverage"
"231"	"1.190.O."	"even_coverage"
"232"	"1.225.O."	"even_coverage"
"233"	"1.249.B."	"even_coverage"
"234"	"1.264.O."	"even_coverage"
"235"	"1.283.C."	"even_coverage"
"236"	"12G01.O."	"even_coverage"
"237"	"2.092.O."	"even_coverage"
"238"	"1.003.O."	"even_coverage"
"239"	"1.039.O."	"even_coverage"
"240"	"1.040.O."	"even_coverage"
"241"	"1.042.O."	"even_coverage"
"242"	"1.047.O."	"even_coverage"
"243"	"1.049.O."	"even_coverage"
"244"	"1.060.A."	"even_coverage"
"245"	"1.061.O."	"even_coverage"
"246"	"1.067.O."	"even_coverage"
"247"	"1.069.O."	"even_coverage"
"248"	"1.074.O."	"even_coverage"
"249"	"1.088.O."	"even_coverage"
"250"	"1.089.O."	"even_coverage"
"251"	"1.090.B."	"even_coverage"
"252"	"1.091.O."	"even_coverage"
"253"	"1.106.O."	"even_coverage"
"254"	"1.110.O."	"even_coverage"
"255"	"1.112.O."	"even_coverage"
"256"	"1.123.O."	"even_coverage"
"257"	"1.127.O."	"even_coverage"
"258"	"1.134.O."	"even_coverage"
"259"	"1.144.O."	"even_coverage"
"260"	"1.157.O."	"even_coverage"
"261"	"1.169.O."	"even_coverage"
"262"	"1.171.O."	"even_coverage"
"263"	"1.172.O."	"even_coverage"
"264"	"1.173.O."	"even_coverage"
"265"	"1.176.O."	"even_coverage"
"266"	"1.182.O."	"even_coverage"
"267"	"1.198.A."	"even_coverage"
"268"	"1.198.B."	"even_coverage"
"269"	"1.216.O."	"even_coverage"
"270"	"1.226.O."	"even_coverage"
"271"	"1.249.A."	"even_coverage"
"272"	"1.250.O."	"even_coverage"
"273"	"1.256.O."	"even_coverage"
"274"	"1.269.O."	"even_coverage"
"275"	"1.270.A."	"even_coverage"
"276"	"1.270.B."	"even_coverage"
"277"	"1.281.O."	"even_coverage"
"278"	"2.095.A."	"even_coverage"
"279"	"2.095.B."	"even_coverage"
"280"	"1.170.O."	"no_pattern"
