phage	family	subfamily	order
1.209.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.219.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
12G01.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.224.A.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.056.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.268.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.091.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.249.A.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.087.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
3.058.O.	 Myoviridae 	 Tevenvirinae	 Caudovirales 
1.215.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.283.C.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.080.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.176.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.152.O.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.057.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.097.O.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.154.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.033.O.	 Myoviridae 	 P1-like viruses 	 Caudovirales 
1.060.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.210.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.044.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.079.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.046.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.283.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.188.A.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.160.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.213.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.071.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.070.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.161.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.173.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.157.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.039.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.023.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.047.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.188.B.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.283.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.144.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.193.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.274.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.084.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.042.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.217.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.255.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.147.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.189.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.008.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.136.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.111.A.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.276.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.017.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.199.A.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.054.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.198.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.228.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.107.B.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.175.O.	 Podoviridae 	 unclassified Podoviridae	 Caudovirales 
1.086.O.	 Siphoviridae 	 Lambda-like viruses 	 Caudovirales 
1.233.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.169.O.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.148.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.027.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.103.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.253.O.	 Bacteriophage PA11 	unclassified	 unclassified dsDNA phages
1.202.O.	 Myoviridae 	 Peduovirinae	 Caudovirales 
1.030.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.184.A.	 Podoviridae 	 unclassified Podoviridae	 Caudovirales 
1.069.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.015.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.156.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.122.A.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.197.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.139.A.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.238.B.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.072.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.286.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.124.O.	 Myoviridae 	 Tevenvirinae	 Caudovirales 
1.211.B.	 Podoviridae 	 unclassified Podoviridae	 Caudovirales 
1.268.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
2.159.A.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.164.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.179.O.	 Bacteriophage PA11 	unclassified	 unclassified dsDNA phages
1.277.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.122.B.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.183.O.	 Podoviridae 	 unclassified Podoviridae	 Caudovirales 
1.150.O.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.250.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.199.B.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.207.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.075.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.151.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.021.C.	 Podoviridae 	 Epsilon15-like viruses 	 Caudovirales 
1.174.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.123.O.	 Siphoviridae 	 Lambda-like viruses 	 Caudovirales 
1.016.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.216.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.247.B.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.085.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.186.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.118.A.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.029.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.204.O.	 Podoviridae 	 Autographivirinae	 Caudovirales 
1.021.A.	 Podoviridae 	 Epsilon15-like viruses 	 Caudovirales 
1.285.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.162.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.189.C.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.171.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.232.O.	 Podoviridae 	 unclassified Podoviridae	 Caudovirales 
1.107.A.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.237.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.273.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.248.O.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.107.C.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.272.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.115.B.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.247.A.	 Myoviridae 	 unclassified Myoviridae	 Caudovirales 
1.185.O.	 Podoviridae 	 Epsilon15-like viruses 	 Caudovirales 
1.003.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.011.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
2.044.O.	 Myoviridae 	 Mu-like viruses 	 Caudovirales 
1.195.O.	 Siphoviridae 	 unclassified Siphoviridae	 Caudovirales 
1.036.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
1.125.O.	 Tectivirus	 Bacteriophage PRD1 	 Tectiviridae
1.155.O.	 Podoviridae 	 Autographivirinae	 Caudovirales 
1.261.O.	 Podoviridae 	 N4-like viruses 	 Caudovirales 
1.061.O.	 Podoviridae 	 unassigned Podoviridae	 Caudovirales 
